Extension,Description
.pi2,Degas Medium Resolution Image File
.pi3,Degas High Resolution Image File
.pi4,DEGAS Image
.pi5,DEGAS Image
.pi6,DEGAS Image
.pic,Generic Picture File
.pic,QuickTime PICT Image
.pic,Houdini Raster Image
.picnc,Houdini 3D Compositing Image
.pict,Picture File
.pictclipping,Picture Clipping
.pix,BRL-CAD Raw Image File
.pl,Unix Color Plot File
.pl0,3D Home Architect Foundation Floor Plan
.pl1,3D Home Architect Floor Plan
.pl2,3D Home Architect Second Level Floor Plan
.pla,ArchiCAD Project Archive
.pln,ArchiCAD Project File
.plt,AutoCAD Plotter Document
.plt,HPGL Plot File
.ply,Polygon Model File
.pm,Unix XV Graphic File
.pm3,PageMaker 3 Document
.pm4,PageMaker 4 Document
.pm5,PageMaker 5.0 Document
.pm6,PageMaker 6.0 Document
.png,Portable Network Graphic
.pnt,MacPaint File
.pov,POV-Ray Raytracing Format
.pov,Prolab Object File
.pp2,Poser Prop File
.ppm,Portable Pixmap Image File
.ppp,Page Plus Publication
.ppx,PagePlus Template File
.ppz,Compressed Poser Prop File
.prn,Printable File
.prt,Solid Edge Part File
.prt,Unigraphics Part File
.prw,Artlantis Shader Preview File
.ps,PostScript File
.psb,Photoshop Large Document Format
.psd,Photoshop Document
.psf,PhotoStudio File
.psg,Page Segment File
.psid,PostScript Image Data
.psm,Solid Edge Sheet Metal File
.psp,Paint Shop Pro Image File
.pspimage,Paint Shop Pro Image
.ptx,Pentax RAW Image File
.ptx,Paint Shop Pro Texture File
.pwp,PhotoWorks Image
.pws,Print Workshop Image
.px,Pixel Image File
.pxr,Pixar Image File
.pz2,Poser Pose File
.pz3,Poser Scene File
.pzz,Compressed Poser Scene File
.qif,QuickTime Image File
.qti,QuickTime Image File
.qtif,QuickTime Image File
.qxd,QuarkXpress Document
.qxp,QuarkXpress Project File
.qxt,QuarkXpress Template
.raf,Fuji RAW Image File
.ras,Sun Raster Graphic
.raw,Raw Image Data File
.ray,Rayshade Image
.rds,Ray Dream Studio Scene File
